provision-rule,specification,dataset,priority,include-exclude,provision-reason,role,project,cohort,organisation,entry-date,start-date,end-date,notes
AW-NE,,ancient-woodland,3,include,authoritative,,,,government-organisation:PB202,,,,
AONB,,area-of-outstanding-natural-beauty,,include,,,,,government-organisation:PB202,,,,
A4-LPA,article-4-direction,article-4-direction,3,include,prospective,local-planning-authority,,,,,2022-06-01,,
A4-ODP,article-4-direction,article-4-direction,2,include,expected,,open-digital-planning,,,,2022-06-01,,
A4A-LPA,article-4-direction,article-4-direction-area,3,include,prospective,local-planning-authority,,,,,2022-06-01,,
A4A-ODP,article-4-direction,article-4-direction-area,2,include,expected,,open-digital-planning,,,,2022-06-01,,
BF,,battlefield,,include,,,,,government-organisation:PB1164,,,,
BFL-LPA,brownfield-land,brownfield-land,3,include,statutory,local-planning-authority,,,,,2017-04-16,,
BFS,,brownfield-site,,include,,local-planning-authority,,,,,,,
BPN,,building-preservation-notice,,include,,,,,government-organisation:PB1164,,,,
CAZ,,central-activities-zone,,include,,,,,local-authority-eng:LBH,,,,
CAZ,,central-activities-zone,,include,,,,,local-authority-eng:GLA,,2022-06-01,,
CAZ,,central-activities-zone,,include,,,,,local-authority-eng:SWK,,2022-06-01,,
COI,,certificate-of-immunity,,include,,,,,government-organisation:PB1164,,,,
CA-LPA,conservation-area,conservation-area,3,include,prospective,local-planning-authority,,,,,2022-06-01,,
CA-ODP,conservation-area,conservation-area,2,include,expected,,open-digital-planning,,,,2022-06-01,,
CAD-LPA,conservation-area,conservation-area-document,3,include,prospective,local-planning-authority,,,,,2022-06-01,,
CAD-ODP,conservation-area,conservation-area-document,2,include,expected,,open-digital-planning,,,,2022-06-01,,
DCA,,design-code-area,,include,,,,,local-authority-eng:NUN,,,,
DCA,,design-code-area,,include,,,,,local-authority-eng:BUC,,,,
DCA,,design-code-area,,include,,,,,local-authority-eng:GRT,,,,
DCA,,design-code-area,,include,,,,,local-authority-eng:HYN,,,,
DCA,,design-code-area,,include,,,,,local-authority-eng:NWL,,,,
DCA,,design-code-area,,include,,,,,local-authority-eng:POR,,,,
FRZ,,flood-risk-zone,,include,,,,,government-organisation:EA199,,,,
GB,,green-belt,,include,,,,,government-organisation:D4,,,,
HAR,,heritage-at-risk,,include,,,,,government-organisation:PB1164,,,,
HC,,heritage-coast,,include,,,,,government-organisation:PB202,,,,
IP,,infrastructure-project,,include,,,,,government-organisation:EA39,,,,
LBO-LPA,listed-building,listed-building-outline,3,include,prospective,local-planning-authority,,,,,2022-06-01,,
LBO-ODP,listed-building,listed-building-outline,2,include,expected,,open-digital-planning,,,,2022-06-01,,
LAD,,local-authority-district,,include,,,,,government-organisation:D303,,,,
LNR,,local-nature-reserve,,include,,,,,government-organisation:PB202,,,,
LPA,,local-planning-authority,,include,,,,,government-organisation:D303,,,,
LRFB,,local-resilience-forum-boundary,,include,,,,,government-organisation:D303,,,,
LLB,,locally-listed-building,,include,,,,,local-authority-eng:CAT,,,,
NNR,,national-nature-reserve,,include,,,,,government-organisation:PB202,,,,
NP,,national-park,,include,,,,,government-organisation:D303,,,,
PR,,parish,,include,,,,,government-organisation:D303,,,,
PAG,,park-and-garden,,include,,,,,government-organisation:PB1164,,,,
PWS,,protected-wreck-site,,include,,,,,government-organisation:PB1164,,,,
RS,,ramsar,,include,,,,,government-organisation:PB202,,,,
RG,,region,,include,,,,,government-organisation:D303,,,,
SM,,scheduled-monument,,include,,,,,government-organisation:PB1164,,,,
SSSI,,site-of-special-scientific-interest,,include,,,,,government-organisation:PB202,,,,
SAC,,special-area-of-conservation,,include,,,,,government-organisation:PB202,,,,
SPA,,special-protection-area,,include,,,,,government-organisation:PB202,,,,
TN,,title-boundary,,include,,,,,government-organisation:D69,,,,
TPO-LPA,tree-preservation-order,tree-preservation-order,3,include,prospective,local-planning-authority,,,,,2022-06-01,,
TPO-ODP,tree-preservation-order,tree-preservation-order,2,include,expected,,open-digital-planning,,,,2022-06-01,,
TPOT-LPA,tree-preservation-order,tree,3,include,prospective,local-planning-authority,,,,,2022-06-01,,
TPOT-ODP,tree-preservation-order,tree,2,include,expected,,open-digital-planning,,,,2022-06-01,,
TPOZ-LPA,tree-preservation-order,tree-preservation-zone,3,include,prospective,local-planning-authority,,,,,2022-06-01,,
TPOZ-ODP,tree-preservation-order,tree-preservation-zone,2,include,expected,,open-digital-planning,,,,2022-06-01,,
DP-LPA,development-plan,development-plan,3,include,prospective,local-planning-authority,,,,,2023-09-01,,
DPT-LPA,development-plan,development-plan-timetable,3,include,prospective,local-planning-authority,,,,,2023-09-01,,
DPD-LPA,development-plan,development-plan-document,3,include,prospective,local-planning-authority,,,,,2023-09-01,,
DPB-LPA,development-plan,development-plan-geography,3,include,prospective,local-planning-authority,,,,,2023-09-01,,
WHS,,world-heritage-site,,include,,,,,government-organisation:PB1164,,,,
WHSBZ,,world-heritage-site-buffer-zone,,include,,,,,government-organisation:PB1164,,,,
