collection,name
ancient-woodland,Ancient woodland
area-of-outstanding-natural-beauty,Area of outstanding natural beauty
article-4-direction,Article 4 direction
conservation-area,Conservation area
developer-contributions,Developer contributions
development-plan-document,Development plan document
development-plan-type,Development plan type
development-policy,Development policy
development-policy-category,Development policy category
development-policy-area,Development policy area
document,Document
document-type,Document type
employment-allocation,Employment allocation
brownfield-land,Brownfield land
brownfield-site,Brownfield site
green-belt,Green belt
heritage-coast,Heritage coast
historic-england,Historic england
listed-building,Listed building
local-authority-district,Local authority district
national-park,National park
open-space,Open space
organisation,Organisation
ownership-status,Ownership status
parish,Parish
permitted-development-right,Permitted development right
planning-permission-status,Planning permission status
planning-permission-type,Planning permission type
ramsar,Ramsar
site-category,Site category
site-of-special-scientific-interest,Site of special scientific interest
special-area-of-conservation,Special area of conservation
